3000.000,-1560.171
6000.000,-1164.836
9000.000,-1320.047
12000.000,-1408.366
15000.000,-1161.210
18000.000,-862.020
21000.000,-287.630
24000.000,-429.372
27000.000,-125.280
30000.000,-222.025
33000.000,-126.730
36000.000,-284.817
39000.000,-201.536
42000.000,-187.932
45000.000,-192.222
48000.000,-143.571
51000.000,-122.165
54000.000,-122.649
57000.000,-143.606
60000.000,-142.969
63000.000,-143.630
66000.000,-184.265
69000.000,-195.269
72000.000,-152.186
75000.000,-174.961
78000.000,-198.129
81000.000,-132.547
84000.000,-184.696
87000.000,-99.537
90000.000,-97.772
93000.000,-119.232
96000.000,-180.331
99000.000,-214.275
102000.000,-98.319
105000.000,-121.099
108000.000,-174.254
111000.000,-102.616
114000.000,-146.051
117000.000,-175.204
120000.000,-106.615
